Jahrgang;Alter;Groesse;Geschlecht;AlterV;AlterM;GroesseV;GroesseM;Geschwister;Farbe;AusgKomm;AnzSchuhe;AusgSchuhe;Essgewohnheiten;Raucher;NoteMathe;MatheZufr;Studiengang;Fragebogen
2015;23;180;Mann;53;54;180;165;2;schwarz;480;12;120;carnivor;ja;3,3;geht so;;
2015;18;163;Frau;45;45;178;155;2;silber;150;4;120;carnivor;nein;3,3;unzufrieden;;
2015;18;165;Frau;49;45;183;169;2;blau;160;22;100;carnivor;nein;3,3;unzufrieden;;
2015;18;163;Frau;42;42;162;161;1;schwarz;520;7;100;carnivor;nein;3,3;unzufrieden;;
2015;23;164;Frau;58;54;183;157;2;weiss;360;50;500;carnivor;nein;3,7;geht so;;
2015;20;176;Frau;50;51;185;175;3;weiss;120;30;500;carnivor;nein;3,7;unzufrieden;;
2015;22;175;Mann;56;54;165;160;2;schwarz;180;11;450;carnivor;nein;3,7;unzufrieden;;
2015;21;168;Frau;55;65;175;155;2;weiss;400;40;400;carnivor;nein;3,7;geht so;;
2015;24;163;Frau;56;56;174;162;1;weiss;250;25;300;vegetarisch;nein;3,7;unzufrieden;;
2015;28;180;Mann;50;49;196;165;1;weiss;200;12;300;vegan;nein;3,7;unzufrieden;;
